Project Name,Figma Link,Proto-type,Category,Website Link,Language
Canizalez Associates,https://www.figma.com/file/mye7s22y4gA4bNBxRfOWiO/Canizalez-Associates-Inc?type=design&node-id=0-1,https://www.figma.com/proto/mye7s22y4gA4bNBxRfOWiO/Canizalez-Associates-Inc?node-id=402-2&p=f&t=E9K7Z29PmGvDgr2P-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Resume || Career Counseling || Hiring,,
Espoter,https://www.figma.com/file/3JRWfq8NL5e8ONFfAptCAT/Espoter?node-id=0%3A1&t=OHV2zPAST2TOI9VM-1,https://www.figma.com/proto/3JRWfq8NL5e8ONFfAptCAT/Espoter?node-id=1-3&p=f&t=pkBErAo8DRZHNvMZ-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,E-Sporter || Landing page,,
Darren Main,https://www.figma.com/file/BBcVr4fcfNS31C1b7ezbhd/Darren-Main?node-id=0%3A1&t=vGiDUEqe5iNJK7UU-1,https://www.figma.com/proto/BBcVr4fcfNS31C1b7ezbhd/Darren-Main?node-id=1-12&t=8C0hlLSQdkDtAU9m-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Yoga course || Body Work,https://courses.darrenmain.com/,
Your Spot Rented,https://www.figma.com/file/y150fcy29FWZwTWZnCW4su/Your-Spot-Rented?type=design&node-id=0%3A1&t=FfGQmWktUZVSJlaw-1,https://www.figma.com/proto/y150fcy29FWZwTWZnCW4su/Your-Spot-Rented?node-id=1-310&t=5EjNlK2UL3HGkNLM-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,,,
Redeemo,https://www.figma.com/file/4naoKxypi3BeeOQxWiQoot/Redeemo?type=design&node-id=0-1&mode=design,https://www.figma.com/proto/4naoKxypi3BeeOQxWiQoot/Redeemo?node-id=1-3&t=QI0Z2X70fNZGYzWm-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,,,
Neuro Plate,https://www.figma.com/file/isFAtwiP6CPUIujrjZzG9X/Neuro-Plate?type=design&node-id=0-1&mode=design,https://www.figma.com/proto/isFAtwiP6CPUIujrjZzG9X/Neuro-Plate?node-id=1-19&t=CsDmJPS9SwcY4srq-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1&starting-point-node-id=1%3A19,Neurologist || Nutrition Services || Nutrition Therapy,https://insitechstaging.com/demo/neuro-plate/,
Divi Dutch Village,https://www.figma.com/file/D67UKdck9ljbGoS0poadVy/Divi-Dutch-Village-Landing-Page?type=design&mode=design,https://www.figma.com/proto/D67UKdck9ljbGoS0poadVy/Divi-Dutch-Village-Landing-Page?node-id=1-2&p=f&t=7BzkNEQYvHKs9QUm-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,,,
Electrician Tech,https://www.figma.com/file/pjzmns8SdebbAabX555RDF/Electrician-Tech?type=design&node-id=0-1&mode=design,https://www.figma.com/proto/pjzmns8SdebbAabX555RDF/Electrician-Tech?node-id=9-4&t=UtVNmZYpevPBxab8-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Electrical Services || Electrician,,
Choose best broker,https://www.figma.com/file/qZZKKLPV71vj8DDKv4WWBB/Choose-best-broker-Landing-Page?type=design&node-id=0-1&mode=design,https://www.figma.com/proto/qZZKKLPV71vj8DDKv4WWBB/Choose-best-broker-Landing-Page?node-id=100-2&t=gK9boS02RZpF65V9-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Broker Services || Investment,,
Famous In Madison,https://www.figma.com/file/ON2wDmN3ZNTmgZcnl2TDeq/Famous-In-Madison?node-id=0%3A1,https://www.figma.com/proto/ON2wDmN3ZNTmgZcnl2TDeq/Famous-In-Madison?node-id=2-11&t=CHccwfLz24tudBxN-1&scaling=scale-down-width&content-scaling=fixed&page-id=0%3A1,Art Teacher || E-commerce,https://famousinmadison.com/,
sustainatech,https://www.figma.com/design/4OKkO36ofE5gXNDi8fDXVD/sustainatech?node-id=0-1&t=O2koSgkCnf5jw0iR-1,https://www.figma.com/proto/4OKkO36ofE5gXNDi8fDXVD/sustainatech?page-id=0%3A1&node-id=801-76&viewport=-3426%2C-12074%2C0.37&t=onKJplkuI6BDUIpw-1&scaling=scale-down-width&content-scaling=fixed&starting-point-node-id=801%3A76,Eco | Innovate | Innovations | Tech | RENEWABLE ENERGY | Eco | Solar | Sun Energy | Sustainable | Profitable Energy Transition on Digital Solutions,,
Jerome Joseph,https://www.figma.com/design/00WhbtkBNFf3WYnyISQzyn/Jerome-Joseph?node-id=0-1&t=2dW11vgabmARrhYT-1,https://www.figma.com/proto/00WhbtkBNFf3WYnyISQzyn/Jerome-Joseph?page-id=0%3A1&node-id=1-2&node-type=CANVAS&viewport=371%2C193%2C0.21&t=kqsTtkzsaSzRX8Mi-1&scaling=scale-down-width&content-scaling=fixed,Author | Books | Speaker,,
Stone Ridge Decking,https://www.figma.com/design/BL9KSc5eEpVF7BcegZNq5V/Stone-Ridge-Decking?node-id=0-1&t=XDzuxLJcZgc2QdRv-1,https://www.figma.com/proto/BL9KSc5eEpVF7BcegZNq5V/Stone-Ridge-Decking?page-id=0%3A1&node-id=21-2160&node-type=CANVAS&viewport=-1127%2C523%2C0.09&t=y4jEvOI48nXAXnWM-1&scaling=scale-down-width&content-scaling=fixed,Deck | Outdoor | Builder | Home Management | Home Decoration | Remodeling,,
AKRS Capital,https://www.figma.com/design/8ULjYQ2fMjXQvPoSW3ZS3R/AKRS-Capital?node-id=0-1&t=m1C4tmeEwuRhvvi1-1,https://www.figma.com/proto/8ULjYQ2fMjXQvPoSW3ZS3R/AKRS-Capital?page-id=0%3A1&node-id=54-14&viewport=-3369%2C60%2C0.86&t=jt2SAjwkxnpEltIb-1&scaling=scale-down-width&content-scaling=fixed,Investing | Capital Stack | Mortgage | Fund,,
NFT for Music Creators,https://www.figma.com/design/a2nXHwqVD4uFkXwuAMGA5a/NFT-for-Music-Creators-with-Prototype?node-id=0-1&t=jwmV6ac6RhLvHeHi-1,https://www.figma.com/proto/a2nXHwqVD4uFkXwuAMGA5a/NFT-for-Music-Creators-with-Prototype?page-id=0%3A1&node-id=2-4&node-type=CANVAS&viewport=477%2C587%2C0.16&t=5N0dmonSUTBgthzh-1&scaling=scale-down&content-scaling=fixed&starting-point-node-id=2%3A4,Music for NFT Creators | NFT | Marketplace,,
Star Feed Group - POULTRY,https://www.figma.com/design/3EzmaVZpO4KZqC1FtBa1gW/Star-Feed-Group?node-id=0-1&t=zQa9X5QyIbkthZeK-1,https://www.figma.com/proto/3EzmaVZpO4KZqC1FtBa1gW/Star-Feed-Group?page-id=0%3A1&node-id=47-8&viewport=-189%2C893%2C0.18&t=EF9gWI9RPFH5snuu-1&scaling=scale-down-width&content-scaling=fixed,POULTRY | Chicken | Wholesale | Chicks | Eggs | Aqua Farm | Farmers | Feeds,,
Taproot,https://www.figma.com/design/rvsDHGpL04mUU5VjQA4YJo/Taproot?node-id=0-1&t=SK55BfI9foAEgRAZ-1,https://www.figma.com/proto/rvsDHGpL04mUU5VjQA4YJo/Taproot?page-id=0%3A1&node-id=3-1469&viewport=-1188%2C-1161%2C0.41&t=aWgRteFtecH0vcOK-1&scaling=scale-down-width&content-scaling=fixed,Coaching | Teacher | Tuition | Education | School,,
k9connoisseur,https://www.figma.com/design/ZualwxXS5x7EyA30dtRLfm/k9connoisseur?node-id=0-1&t=zdsR5ZGQ2EspwBDd-1,https://www.figma.com/proto/ZualwxXS5x7EyA30dtRLfm/k9connoisseur?page-id=0%3A1&node-id=1-1874&viewport=-298%2C-60%2C0.76&t=3SZoff0Se5BRPkw4-1&scaling=scale-down-width&content-scaling=fixed,Animals | Pet | Treats | Dogs | Feed,,
CH3F MONK3YH,https://www.figma.com/design/19xub52r63YhrNn1CIwNt2/CH3F-MONK3YH?node-id=0-1&t=6F6SqHRLP89X2EcI-1,https://www.figma.com/proto/19xub52r63YhrNn1CIwNt2/CH3F-MONK3YH?page-id=0%3A1&node-id=1-39&node-type=CANVAS&viewport=89%2C210%2C0.14&t=Oyf02y7NDxL8qMMk-1&scaling=scale-down-width&content-scaling=fixed,Ecommerce | Products | Cloths | Apparel | Fasion,,
Weight Pullers,https://www.figma.com/design/oCf8VQYGWaLP29TJKH59B3/Weight-Pullers?node-id=0-1&t=AED5r9M6OOaPiJVE-1,https://www.figma.com/proto/oCf8VQYGWaLP29TJKH59B3/Weight-Pullers?page-id=0%3A1&node-id=0-3&node-type=CANVAS&viewport=483%2C85%2C0.15&t=zZAbqQIzTP9WFDRi-1&scaling=scale-down-width&content-scaling=fixed,Logistics | Trucking | Loading | Courior,,
Hospitality,https://www.figma.com/design/7pUBw2UAGHEgciCkp0jxWu/Hospitality?node-id=0-1&t=zHv5MUmpODCjV2A0-1,https://www.figma.com/proto/7pUBw2UAGHEgciCkp0jxWu/Hospitality?page-id=0%3A1&node-id=1-2&node-type=CANVAS&viewport=268%2C67%2C0.13&t=tsFc2pZRMsNxJ91S-1&scaling=scale-down-width&content-scaling=fixed,Hospitality | Home Decoration | Rent | Rental | Wander | Property Care | Guest Care | Hotels | Guest House,,
Jet black tint,https://www.figma.com/design/ucP389Khly7oAwXi9bLQLG/Jet-black-tint?node-id=0-1&t=TfDT3Larw6AvGskh-1,https://www.figma.com/proto/ucP389Khly7oAwXi9bLQLG/Jet-black-tint?page-id=0%3A1&node-id=1-2&node-type=CANVAS&viewport=430%2C127%2C0.15&t=4hEqUky6Fk7PZvVK-1&scaling=scale-down-width&content-scaling=fixed,Jet black tint | Tinting | Auto Tint | Paint Protection (PPF) | Glass Repair,,
